country,code,continent,region,subregion,economicState,lat,lon,gpi2014,gpi2015,gpi2016,gpi2017,gpi2018,hdi2014,hdi2015,hdi2016,hdi2017,hdi2018
Myanmar,MMR,Asia,South-eastern Asia,,Developing,16.45N,96.20E,2.473,2.323,2.256,2.1791,2.302,0.564,0.569,0.574,0.578,0.578
Namibia,NAM,Africa,Sub-Saharan Africa,Southern Africa,Developing,22.35S,17.04E,1.808,1.784,1.873,1.838,1.806,0.636,0.642,0.645,0.647,0.647
Nepal,NPL,Asia,Southern Asia,,Developing,27.45N,85.20E,1.989,1.882,2.026,2.0816,2.053,0.56,0.566,0.569,0.574,0.574
Netherlands,NLD,Europe,Western Europe,,Developed,52.23N,04.54E,1.475,1.432,1.541,1.525,1.574,0.924,0.926,0.928,0.931,0.931
New Zealand,NZL,Oceania,Australia and New Zealand,,Developed,41.19S,174.46E,1.236,1.221,1.287,1.241,1.192,0.91,0.914,0.915,0.917,0.917
Nicaragua,NIC,Americas,Latin America and the Caribbean,Central America,Developing,12.06N,86.20W,1.882,1.947,1.975,2.002,1.96,0.649,0.652,0.657,0.658,0.658
Niger,NER,Africa,Sub-Saharan Africa,Western Africa,Developing,13.27N,02.06E,2.351,2.32,2.239,2.34314,2.359,0.345,0.347,0.351,0.354,0.354
Nigeria,NGA,Africa,Sub-Saharan Africa,Western Africa,Developing,09.05N,07.32E,2.71,2.91,2.877,2.849,2.873,0.524,0.527,0.53,0.532,0.532
Norway,NOR,Europe,Northern Europe,,Developed,59.55N,10.45E,1.371,1.393,1.5,1.486,1.519,0.946,0.948,0.951,0.953,0.953
Oman,OMN,Asia,Western Asia,,Developing,23.37N,58.36E,1.889,1.947,2.016,1.983,1.984,0.815,0.822,0.822,0.821,0.821
Pakistan,PAK,Asia,Southern Asia,,Developing,33.40N,73.10E,3.107,3.049,3.145,3.058,3.079,0.548,0.551,0.56,0.562,0.562
Panama,PAN,Americas,Latin America and the Caribbean,Central America,Developing,09.00N,79.25W,1.877,1.903,1.837,1.835,1.826,0.781,0.781,0.785,0.789,0.789
Papua New Guinea,PNG,Oceania,Melanesia,,Developing,09.24S,147.08E,2.066,2.064,2.143,2.095,2.109,0.536,0.542,0.543,0.544,0.544
Paraguay,PRY,Americas,Latin America and the Caribbean,South America,Developing,25.10S,57.30W,1.976,2.023,2.037,1.96111,1.997,0.698,0.702,0.702,0.702,0.702
Peru,PER,Americas,Latin America and the Caribbean,South America,Developing,12.00S,77.00W,2.304,2.029,2.057,1.98612,1.986,0.746,0.745,0.748,0.75,0.75
Philippines,PHL,Asia,South-eastern Asia,,Developing,14.40N,121.03E,2.456,2.462,2.511,2.555,2.512,0.689,0.693,0.696,0.699,0.699
Poland,POL,Europe,Eastern Europe,,Developed,52.13N,21.00E,1.532,1.43,1.557,1.676,1.727,0.842,0.855,0.86,0.865,0.865
Portugal,PRT,Europe,Southern Europe,,Developed,38.42N,09.10W,1.425,1.344,1.356,1.258,1.318,0.839,0.842,0.845,0.847,0.847
Qatar,QAT,Asia,Western Asia,,Developing,25.15N,51.35E,1.491,1.568,1.716,1.664,1.869,0.853,0.854,0.855,0.856,0.856
Romania,ROU,Europe,Eastern Europe,,Developed,44.27N,26.10E,1.677,1.542,1.649,1.6,1.596,0.802,0.805,0.807,0.811,0.811
Rwanda,RWA,Africa,Sub-Saharan Africa,Eastern Africa,Developing,01.59S,30.04E,2.494,2.42,2.323,2.22715,2.14,0.509,0.51,0.52,0.524,0.524
Saudi Arabia,SAU,Asia,Western Asia,,Developing,24.41N,46.42E,2.003,2.042,2.338,2.474,2.417,0.852,0.854,0.854,0.853,0.853
Senegal,SEN,Africa,Sub-Saharan Africa,Western Africa,Developing,14.34N,17.29W,1.974,1.805,1.978,1.9291,1.849,0.486,0.492,0.499,0.505,0.505
Sierra Leone,SLE,Africa,Sub-Saharan Africa,Western Africa,Developing,08.30N,13.17W,1.942,1.864,1.805,1.76,1.74,0.423,0.413,0.413,0.419,0.419
Singapore,SGP,Asia,South-eastern Asia,,Developing,1.35N,103.82E,1.545,1.49,1.535,1.534,1.382,0.928,0.929,0.93,0.932,0.932
Slovakia,SVK,Europe,Eastern Europe,,Developed,48.10N,17.07E,1.467,1.478,1.603,1.611,1.568,0.845,0.851,0.853,0.855,0.855
Slovenia,SVN,Europe,Southern Europe,,Developed,46.04N,14.33E,1.398,1.378,1.408,1.364,1.396,0.887,0.889,0.894,0.896,0.896
Somalia,SOM,Africa,Sub-Saharan Africa,Eastern Africa,Developing,02.02N,45.25E,3.368,3.307,3.414,3.387,3.367,0.328,0.339,0.344,0.351,0.351
South Africa,ZAF,Africa,Sub-Saharan Africa,Southern Africa,Developing,25.44S,28.12E,2.364,2.376,2.316,2.3243,2.328,0.685,0.692,0.696,0.699,0.699
South Sudan,SSD,Africa,Sub-Saharan Africa,Eastern Africa,Developing,4.86N,31.57E,3.397,3.383,3.593,3.524,3.508,0.397,0.399,0.394,0.388,0.388
Spain,ESP,Europe,Southern Europe,,Developed,40.25N,03.45W,1.548,1.451,1.604,1.568,1.678,0.88,0.885,0.889,0.891,0.891
Sri Lanka,LKA,Asia,Southern Asia,,Developing,6.89N,79.92E,2.197,2.188,2.133,2.01917,1.954,0.763,0.766,0.768,0.77,0.77
Sudan,SDN,Africa,Northern Africa,,Developing,15.31N,32.35E,3.362,3.295,3.269,3.213,3.155,0.492,0.497,0.499,0.502,0.502
Swaziland,SWZ,Africa,Sub-Saharan Africa,Southern Africa,Developing,26.18S,31.06E,2.056,2.102,2.074,2.0112,1.98,0.579,0.584,0.586,0.588,0.588
Sweden,SWE,Europe,Northern Europe,,Developed,59.20N,18.03E,1.381,1.36,1.461,1.516,1.502,0.92,0.929,0.932,0.933,0.933
Switzerland,CHE,Europe,Western Europe,,Developed,46.57N,07.28E,1.258,1.275,1.37,1.373,1.407,0.939,0.942,0.943,0.944,0.944
Syria,SYR,Asia,Western Asia,,Developing,33.30N,36.18E,3.65,3.645,3.806,3.814,3.6,0.55,0.538,0.536,0.536,0.536
Tajikistan,TJK,Asia,Central Asia,,Developing,38.33N,68.48E,2.395,2.152,2.293,2.263,2.266,0.645,0.645,0.647,0.65,0.65
Thailand,THA,Asia,South-eastern Asia,,Developing,13.45N,100.35E,2.395,2.303,2.312,2.286,2.259,0.735,0.741,0.748,0.755,0.755
Togo,TGO,Africa,Sub-Saharan Africa,Western Africa,Developing,06.09N,01.20E,2.003,1.944,1.954,1.939,2.104,0.481,0.495,0.5,0.503,0.503
Tunisia,TUN,Africa,Northern Africa,,Developing,36.50N,10.11E,2.001,1.952,1.949,1.977,1.998,0.725,0.728,0.732,0.735,0.735
Turkey,TUR,Asia,Western Asia,,Developing,39.57N,32.54E,2.402,2.363,2.71,2.777,2.898,0.778,0.783,0.787,0.791,0.791
Turkmenistan,TKM,Asia,Central Asia,,Developing,38.00N,57.50E,2.093,2.138,2.202,2.2713,2.283,0.697,0.701,0.705,0.706,0.706
Uganda,UGA,Africa,Sub-Saharan Africa,Eastern Africa,Developing,00.20N,32.30E,2.221,2.179,2.148,2.182,2.168,0.5,0.505,0.508,0.516,0.516
United Arab Emirates,ARE,Asia,Western Asia,,Developing,24.28N,54.22E,1.748,1.805,1.931,1.944,1.82,0.855,0.86,0.862,0.863,0.863
Tanzania,TZA,Africa,Sub-Saharan Africa,Eastern Africa,Developing,06.08S,35.45E,1.889,1.903,1.899,1.876,1.837,0.515,0.528,0.533,0.538,0.538
Uruguay,URY,Americas,Latin America and the Caribbean,South America,Developing,34.50S,56.11W,1.565,1.721,1.726,1.709,1.761,0.801,0.8,0.802,0.804,0.804
Uzbekistan,UZB,Asia,Central Asia,,Developing,41.20N,69.10E,2.179,2.187,2.216,2.132,2.144,0.695,0.698,0.703,0.71,0.71
Yemen,YEM,Asia,Western Asia,,Developing,15.37N,44.19E,2.629,2.751,3.399,3.412,3.305,0.505,0.483,0.462,0.452,0.452
Zambia,ZMB,Africa,Sub-Saharan Africa,Eastern Africa,Developing,15.28S,28.16E,1.791,1.846,1.783,1.786,1.822,0.58,0.583,0.586,0.588,0.588
Zimbabwe,ZWE,Africa,Sub-Saharan Africa,Eastern Africa,Developing,17.43S,31.02E,2.662,2.294,2.322,2.352,2.326,0.525,0.529,0.532,0.53,0.53
